DEBUG 2024-10-10 12:51:21,228 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\window\__init__.py first seen with mtime 1682339319.7309608
DEBUG 2024-10-10 12:51:21,229 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1728485724.030543
DEBUG 2024-10-10 12:51:21,230 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1728485725.035404
DEBUG 2024-10-10 12:51:21,230 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1728485688.8728259
DEBUG 2024-10-10 12:51:21,231 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\reader\workbook.py first seen with mtime 1692801712.9411864
DEBUG 2024-10-10 12:51:21,231 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1728485724.012451
DEBUG 2024-10-10 12:51:21,232 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1728485723.4299893
DEBUG 2024-10-10 12:51:21,232 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1728485722.9124696
DEBUG 2024-10-10 12:51:21,233 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\core\_machar.py first seen with mtime 1725286593.8472703
DEBUG 2024-10-10 12:51:21,233 autoreload File C:\Users\cmadaria\Miniconda3\Lib\dataclasses.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,234 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\computation\parsing.py first seen with mtime 1682339318.740002
DEBUG 2024-10-10 12:51:21,234 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\random\_sfc64.cp310-win_amd64.pyd first seen with mtime 1725286598.5756023
DEBUG 2024-10-10 12:51:21,235 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\worksheet\related.py first seen with mtime 1692801713.5197105
DEBUG 2024-10-10 12:51:21,235 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\io\excel\_base.py first seen with mtime 1682339320.0178256
DEBUG 2024-10-10 12:51:21,236 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1728485703.672864
DEBUG 2024-10-10 12:51:21,237 autoreload File C:\Users\cmadaria\Miniconda3\Lib\datetime.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,239 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_libs\tslibs\dtypes.cp310-win_amd64.pyd first seen with mtime 1682339316.4243598
DEBUG 2024-10-10 12:51:21,242 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1728485724.0521827
DEBUG 2024-10-10 12:51:21,243 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1728485724.8705108
DEBUG 2024-10-10 12:51:21,244 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\urls\converters.py first seen with mtime 1728485726.346389
DEBUG 2024-10-10 12:51:21,244 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\chart\updown_bars.py first seen with mtime 1692801712.4674103
DEBUG 2024-10-10 12:51:21,245 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\views\defaults.py first seen with mtime 1728485726.7852063
